dataset,model,model_raw,seed,label,family,user_group,F_out,OutputGain,l_exp_mean,l_exp_median,l_exp_p75,l_exp_p90,l_exp_p95,l_exp_std,n_users,delta_l_exp_mean,delta_l_exp_median,delta_l_exp_p75,delta_l_exp_p90,delta_l_exp_p95,delta_l_exp_std
lastfm,bpr,weighted_bpr,2,legacy_a0.4,legacy,semi_niche,0.8406751876517959,0.0290870488322717,0.8955771233760841,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.029106214530755143,473,0.003805640706588731,0.0,0.0,0.0,0.0,-0.021167532350831846
lastfm,bpr,weighted_bpr,2,legacy_a0.4,legacy,semi_mainstream,0.8406751876517959,0.0290870488322717,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,2,legacy_a0.4,legacy,mainstream,0.8406751876517959,0.0290870488322717,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,2,legacy_a0.8,legacy,niche,0.7461422789469127,0.123619957537155,0.6260204565120749,0.6999773152611581,0.7000170135541315,0.9000170135541314,0.9000170135541314,0.19163528095959045,465,0.20195021675511915,0.2000396982929733,0.19999999999999996,0.0,0.0,-0.03911217921882448
lastfm,bpr,weighted_bpr,2,legacy_a0.8,legacy,semi_niche,0.7461422789469127,0.123619957537155,0.8513894942082577,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.10627347689120437,473,0.0479932698744151,0.0,0.0,0.0,0.0,-0.09833479471128106
lastfm,bpr,weighted_bpr,2,legacy_a0.8,legacy,semi_mainstream,0.7461422789469127,0.123619957537155,0.8964228852565865,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.022707766354176463,473,0.0035941282975452404,0.0,0.0,0.0,0.0,-0.02270776635417613
lastfm,bpr,weighted_bpr,2,legacy_a0.8,legacy,mainstream,0.7461422789469127,0.123619957537155,0.8998055970636454,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.00459314185674428,473,0.00021141649048639355,0.0,0.0,0.0,0.0,-0.004593141856743947
lastfm,itemknn,weighted_itemknn,0,baseline,baseline,niche,0.5819172258683565,0.0,0.47053557326835255,0.49997164407644756,0.5999943288152896,0.6999943288152894,0.7000124766063631,0.17650097613776372,465,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,itemknn,weighted_itemknn,0,baseline,baseline,semi_niche,0.5819172258683565,0.0,0.6668184497906517,0.6999943288152894,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.21215453665775724,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,itemknn,weighted_itemknn,0,baseline,baseline,semi_mainstream,0.5819172258683565,0.0,0.8579443765887262,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1093215328884867,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,itemknn,weighted_itemknn,0,baseline,baseline,mainstream,0.5819172258683565,0.0,0.8966342777674333,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.039409286783222024,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,itemknn,weighted_itemknn,0,kl_lam0.1,kl,niche,0.2166836802207981,0.3652335456475584,0.47010864892256643,0.4999943288152895,0.600011342369421,0.600011342369421,0.6999943288152894,0.15222036027599578,465,0.00042692434578611715,-2.268473884192712e-05,-1.7013554131417585e-05,0.09998298644586845,1.8147791073674924e-05,0.02428061586176794
lastfm,itemknn,weighted_itemknn,0,kl_lam0.1,kl,semi_niche,0.2166836802207981,0.3652335456475584,0.45222134789792684,0.4999716440764475,0.5999943288152896,0.600011342369421,0.6999943288152894,0.153603794933735,473,0.2145971018927249,0.20002268473884194,0.30002268473884186,0.30000567118471044,0.200022684738842,0.05855074172402225
lastfm,itemknn,weighted_itemknn,0,kl_lam0.1,kl,semi_mainstream,0.2166836802207981,0.3652335456475584,0.5122705013627029,0.500011342369421,0.6000170135541314,0.9000170135541314,0.9000170135541314,0.21065352730309997,473,0.34567387522602333,0.4000056711847104,0.30000000000000004,0.0,0.0,-0.10133199441461327
lastfm,itemknn,weighted_itemknn,0,kl_lam0.1,kl,mainstream,0.2166836802207981,0.3652335456475584,0.8053012388241393,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.17470689985617072,473,0.09133303894329403,0.0,0.0,0.0,0.0,-0.13529761307294869
lastfm,itemknn,weighted_itemknn,0,kl_lam0.5,kl,niche,0.350919349010607,0.2309978768577494,0.462150964497774,0.4999943288152895,0.600011342369421,0.600011342369421,0.6999943288152894,0.15858129642959548,465,0.008384608770578561,-2.268473884192712e-05,-1.7013554131417585e-05,0.09998298644586845,1.8147791073674924e-05,0.01791967970816824
lastfm,itemknn,weighted_itemknn,0,kl_lam0.5,kl,semi_niche,0.350919349010607,0.2309978768577494,0.49218328501635833,0.49999432881528955,0.600011342369421,0.6999943288152894,0.8000170135541314,0.17497233169332796,473,0.17463516477429342,0.1999999999999999,0.30000567118471044,0.200022684738842,0.10000000000000009,0.03718220496442928
lastfm,itemknn,weighted_itemknn,0,kl_lam0.5,kl,semi_mainstream,0.350919349010607,0.2309978768577494,0.6488511294829786,0.6999943288152894,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.23091961834412614,473,0.20909324710574761,0.200022684738842,0.0,0.0,0.0,-0.12159808545563944
lastfm,itemknn,weighted_itemknn,0,kl_lam0.5,kl,mainstream,0.350919349010607,0.2309978768577494,0.8710528344593174,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.10045597251843348,473,0.02558144330811596,0.0,0.0,0.0,0.0,-0.06104668573521146
lastfm,itemknn,weighted_itemknn,0,kl_lam2.0,kl,niche,0.4984777354224967,0.0834394904458598,0.4636543894664757,0.49997164407644756,0.600011342369421,0.6999943288152894,0.6999943288152894,0.1599426746976533,465,0.006881183801876856,0.0,-1.7013554131417585e-05,0.0,1.8147791073674924e-05,0.016558301440110418
lastfm,itemknn,weighted_itemknn,0,kl_lam2.0,kl,semi_niche,0.4984777354224967,0.0834394904458598,0.5693536492035343,0.5999943288152895,0.7000170135541315,0.9000170135541314,0.9000170135541314,0.21083657991862387,473,0.09746480058711748,0.09999999999999998,0.19999999999999996,0.0,0.0,0.0013179567391333746
lastfm,itemknn,weighted_itemknn,0,kl_lam2.0,kl,semi_mainstream,0.4984777354224967,0.0834394904458598,0.8021300514159437,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.17017646235204914,473,0.05581432517278251,0.0,0.0,0.0,0.0,-0.06085492946356244
lastfm,itemknn,weighted_itemknn,0,kl_lam2.0,kl,mainstream,0.4984777354224967,0.0834394904458598,0.8964227773482093,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.03689740029033345,473,0.00021150041922401996,0.0,0.0,0.0,0.0,0.002511886492888575
lastfm,itemknn,weighted_itemknn,0,kl_lam8.0,kl,niche,0.5603142534692058,0.0216029723991506,0.46386887001339744,0.49997164407644756,0.5999943288152896,0.6999943288152894,0.6999943288152894,0.1740886050976099,465,0.006666703254955109,0.0,0.0,0.0,1.8147791073674924e-05,0.002412371040153821
lastfm,itemknn,weighted_itemknn,0,kl_lam8.0,kl,semi_niche,0.5603142534692058,0.0216029723991506,0.6403909328667216,0.6999943288152894,0.8000170135541314,0.9000170135541314,0.9000170135541314,0.21359375603249453,473,0.026427516923930194,0.0,0.10000000000000009,0.0,0.0,-0.0014392193747372883
lastfm,itemknn,weighted_itemknn,0,kl_lam8.0,kl,semi_mainstream,0.5603142534692058,0.0216029723991506,0.8475848846261618,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1257521826120844,473,0.010359491962564471,0.0,0.0,0.0,0.0,-0.0164306497235977
lastfm,itemknn,weighted_itemknn,0,kl_lam8.0,kl,mainstream,0.5603142534692058,0.0216029723991506,0.8968456103291819,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.03577306650930749,473,-0.0002113325617485451,0.0,0.0,0.0,0.0,0.0036362202739145325
