dataset,model,model_raw,seed,label,family,F_out,OutputGain,l_exp_mean,l_exp_median,l_exp_p75,l_exp_p90,l_exp_p95,l_exp_std,n_users,delta_l_exp_mean,delta_l_exp_median,delta_l_exp_p75,delta_l_exp_p90,delta_l_exp_p95,delta_l_exp_std,delta_F_out
ml1m,lightgcn,weighted_lightgcn,0,legacy_a0.2,legacy,0.7770382773239102,0.0136423841059601,0.8202817919204225,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.1161306869763699,6040,0.008142283169303877,0.0,0.0,0.0,0.0,-0.005831925611146455,0.013642384105960192
ml1m,lightgcn,weighted_lightgcn,0,legacy_a0.4,legacy,0.7645382773239102,0.0261423841059601,0.8129166406136947,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.12247723267669303,6040,0.015507434476031645,0.0,0.0,0.0,0.0,-0.012178471311469583,0.026142384105960148
ml1m,lightgcn,weighted_lightgcn,0,legacy_a0.8,legacy,0.7442402640788771,0.0464403973509932,0.7987141384565087,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.13818823445474482,6040,0.029709936633217637,0.0,0.0,0.0,0.0,-0.027889473089521374,0.04644039735099326
ml1m,lightgcn,weighted_lightgcn,1,baseline,baseline,0.7873197342775525,0.0,0.8269675814683871,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.10977826592278485,6040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ml1m,lightgcn,weighted_lightgcn,1,kl_lam0.1,kl,0.7536442375888108,0.0336754966887417,0.8025201069392611,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.13692017784919047,6040,0.02444747452912599,0.0,0.0,0.0,0.0,-0.027141911926405624,0.0336754966887417
ml1m,lightgcn,weighted_lightgcn,1,kl_lam0.5,kl,0.7664256945424532,0.0208940397350992,0.8109946860869984,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.1279119169948806,6040,0.015972895381388685,0.0,0.0,0.0,0.0,-0.01813365107209576,0.02089403973509929
ml1m,lightgcn,weighted_lightgcn,1,kl_lam2.0,kl,0.777104502489473,0.0102152317880794,0.8203470791790008,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.11621937136853581,6040,0.006620502289386265,0.0,0.0,0.0,0.0,-0.0064411054457509664,0.010215231788079482
ml1m,lightgcn,weighted_lightgcn,1,kl_lam8.0,kl,0.7840250322907976,0.0032947019867549,0.8247497440853799,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.1118052076542918,6040,0.002217837383007182,0.0,0.0,0.0,0.0,-0.0020269417315069566,0.0032947019867549665
ml1m,lightgcn,weighted_lightgcn,1,legacy_a0.1,legacy,0.7809455620921222,0.0063741721854303,0.8232106476560365,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.11293678197235985,6040,0.003756933812350649,0.0,0.0,0.0,0.0,-0.003158516049574997,0.006374172185430349
ml1m,lightgcn,weighted_lightgcn,1,legacy_a0.2,legacy,0.7745548336153009,0.0127649006622516,0.8196689634966601,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.1158439570396535,6040,0.007298617971727039,0.0,0.0,0.0,0.0,-0.006065691116868652,0.012764900662251666
